@relation training

@attribute 'PLAYER1' numeric
@attribute 'PLAYER2' numeric
@attribute 'P2ACE' numeric
@attribute 'P1NETPOINTWON' numeric
@attribute 'P1BREAKPOINTWON' numeric
@attribute 'P1ACE' numeric
@attribute 'P1FIRSTSRVWON' numeric
@attribute 'P1FIRSTSRVIN' numeric
@attribute 'P2UNFERR' numeric
@attribute 'P1DOUBLEFAULT' numeric
@attribute 'P2NETPOINT' numeric
@attribute 'P1FORCEDERROR' numeric
@attribute 'P2BREAKPOINTMISSED' numeric
@attribute 'P2NETPOINTWON' numeric
@attribute 'P2DOUBLEFAULT' numeric
@attribute 'P2SECONDSRVIN' numeric
@attribute 'P2FIRSTSRVIN' numeric
@attribute 'P2SECONDSRVWON' numeric
@attribute 'P2WINNER' numeric
@attribute 'P2BREAKPOINTWON' numeric
@attribute 'P1SECONDSRVIN' numeric
@attribute 'P1WINNER' numeric
@attribute 'P2GAMESWON' numeric
@attribute 'P2BREAKPOINT' numeric
@attribute 'P2FORCEDERROR' numeric
@attribute 'P1GAMESWON' numeric
@attribute 'P1NETPOINT' numeric
@attribute 'P1BREAKPOINTMISSED' numeric
@attribute 'P1UNFERR' numeric
@attribute 'P2FIRSTSRVWON' numeric
@attribute 'P1BREAKPOINT' numeric
@attribute 'P1SECONDSRVWON' numeric
@attribute 'SURFACE' string
@attribute 'WINNER' {1,2}

@data
1,2,1,13,3,4,34,61,20,3,17,18,9,13,0,26,43,14,28,4,23,28,444,13,23,465,19,5,39,30,8,12,HARD,2
1,2,0,11,3,7,18,34,14,5,7,18,4,6,1,19,38,8,15,5,28,25,349,9,15,217,17,6,38,28,9,14,HARD,2
1,2,3,11,3,1,27,45,25,4,5,17,6,5,8,31,35,21,19,4,34,32,426,10,18,345,21,5,46,24,8,19,HARD,2
1,2,2,17,3,0,14,26,17,2,18,22,5,12,0,21,61,11,14,5,23,30,380,10,13,214,26,4,37,35,7,10,HARD,2
1,2,1,10,4,7,19,29,26,2,7,16,3,5,3,19,27,11,13,1,24,18,148,4,16,260,21,3,15,15,7,18,HARD,1
1,2,1,6,4,3,22,42,25,3,10,33,3,9,6,24,56,11,16,6,18,18,451,9,23,330,12,7,34,37,11,6,HARD,2
1,2,3,22,2,1,22,33,16,8,18,21,9,11,4,24,40,13,23,5,20,25,333,14,13,295,30,6,31,29,8,6,HARD,2
1,2,1,4,1,0,18,29,24,2,8,16,5,6,2,17,31,13,21,5,21,6,279,10,9,95,4,2,26,21,3,5,HARD,2
1,2,2,10,4,4,28,40,16,3,13,12,4,9,2,20,33,7,13,1,14,26,118,5,24,285,13,3,21,21,7,11,HARD,1
1,2,0,31,4,2,18,20,21,0,15,16,1,7,4,28,41,13,6,0,21,33,86,1,16,343,40,7,22,23,11,15,HARD,1
1,2,1,12,0,0,24,39,35,3,16,21,6,10,3,16,51,8,26,3,29,20,310,9,7,183,15,7,32,37,7,13,HARD,2
1,2,0,4,4,3,19,24,27,2,12,9,5,6,2,15,28,9,7,0,26,19,95,5,13,271,7,1,22,15,5,19,HARD,1
1,2,0,6,5,6,21,27,21,2,10,12,1,7,2,16,44,8,14,1,15,24,147,2,19,257,8,10,16,20,15,9,HARD,1
1,2,0,9,10,2,35,64,53,8,12,32,8,9,4,43,60,15,34,8,30,25,571,16,28,594,11,8,37,35,18,14,HARD,1
1,2,0,5,3,1,38,63,23,5,9,18,8,8,4,26,43,15,21,5,21,25,380,13,27,260,7,3,48,30,6,9,HARD,2
1,2,0,6,5,3,26,42,41,2,7,13,4,5,2,22,36,8,31,3,21,11,238,7,18,311,7,5,11,19,10,11,HARD,1
1,2,0,6,5,2,22,36,18,1,4,13,1,2,1,15,32,6,2,1,15,25,93,2,17,298,9,5,25,15,10,11,HARD,1
