MATCH_ID,TOURNAMENT,YEAR,PLAYER1,PLAYER1_ID,PLAYER2,PLAYER2_ID,WINNER,P2ACE,P1NETPOINTWON,P1BREAKPOINTWON,P1ACE,P1FIRSTSRVWON,P1FIRSTSRVIN,P2UNFERR,P1DOUBLEFAULT,P2NETPOINT,P1FORCEDERROR,P2BREAKPOINTMISSED,P2NETPOINTWON,P2DOUBLEFAULT,P2SECONDSRVIN,P2FIRSTSRVIN,P2SECONDSRVWON,P2WINNER,P2BREAKPOINTWON,P1SECONDSRVIN,P1WINNER,P2GAMESWON,P2BREAKPOINT,P2FORCEDERROR,P1GAMESWON,P1NETPOINT,P1BREAKPOINTMISSED,P1UNFERR,P2FIRSTSRVWON,P1BREAKPOINT,P1SECONDSRVWON,PLAYER1_WON_SETS,PLAYER2_WON_SETS
2011-ausopen-1701,AUS_OPEN,2011,Andy Murray,atpmc10,Novak Djokovic,atpd643,2,6,7,3,6,37,58,33,4,14,33,11,9,0,25,50,15,26,7,47,21,483,18,24,249,18,1,47,35,4,16,0,3
2011-ausopen-2101,AUS_OPEN,2011,Caroline Wozniacki,wta313402,Gisela Dulko,wta040388,1,2,17,3,0,34,47,38,3,32,15,7,19,4,20,47,10,35,1,24,15,217,8,27,388,25,5,15,29,8,14,2,0
2011-ausopen-2105,AUS_OPEN,2011,Yanina Wickmayer,wta312536,Jarmila Groth,wta310169,1,9,3,3,6,46,66,49,4,12,30,6,9,6,32,53,14,37,3,23,23,332,9,21,502,13,8,24,42,11,12,2,1
2011-ausopen-2108,AUS_OPEN,2011,Tathiana Garbin,wta030348,Marion Bartoli,wta020631,2,4,4,0,3,6,19,7,0,11,11,1,11,3,9,22,7,23,6,16,5,160,7,5,0,15,3,18,19,3,3,0,2
2011-ausopen-2109,AUS_OPEN,2011,Justine Henin,wta080350,Sania Mirza,wta310112,1,1,7,8,4,29,45,48,4,15,20,5,9,9,29,48,16,24,5,40,26,363,10,24,470,10,5,33,25,13,24,2,1
2011-ausopen-2111,AUS_OPEN,2011,Bethanie Mattek-Sands,wta130713,Arantxa Rus,wta313349,2,2,12,4,3,35,61,33,4,10,28,5,3,2,34,71,20,22,6,24,33,501,11,27,421,20,9,53,41,13,12,1,2
2011-ausopen-2112,AUS_OPEN,2011,Alison Riske,wta312850,Svetlana Kuznetsova,wta110552,2,2,9,3,0,21,47,23,3,14,11,5,8,5,27,20,14,28,6,10,8,292,11,15,148,18,2,27,17,5,4,0,2
2011-ausopen-2115,AUS_OPEN,2011,Rebecca Marino,wta313485,Junri Namigata,wta140195,1,2,7,6,6,31,43,22,7,14,15,0,9,4,29,51,15,18,4,34,36,228,4,29,463,10,4,43,28,10,19,2,1
2011-ausopen-2116,AUS_OPEN,2011,Arantxa Parra Santonja,wta160451,Francesca Schiavone,wta190666,2,3,29,2,4,29,35,35,7,32,33,9,15,4,36,63,19,24,5,57,30,623,14,30,452,39,7,50,48,9,30,1,2
2011-ausopen-2117,AUS_OPEN,2011,Venus Williams,wta230220,Sara Errani,wta310761,1,0,15,5,8,24,33,15,1,11,8,5,8,4,9,35,2,16,2,26,33,179,7,18,266,20,4,18,18,9,14,2,0
2011-ausopen-2123,AUS_OPEN,2011,Elena Vesnina,wta311220,Virginie Razzano,wta180384,2,1,6,3,1,29,50,34,6,9,22,3,8,5,21,60,14,27,5,20,12,371,8,28,309,13,2,39,39,5,12,1,2
2011-ausopen-2124,AUS_OPEN,2011,Tamarine Tanasugarn,wta200137,Maria Sharapova,wta310137,2,5,0,3,0,12,34,22,2,6,15,3,6,10,8,24,5,24,7,22,5,197,10,12,151,0,0,22,18,3,8,0,2
2011-ausopen-2125,AUS_OPEN,2011,Na Li,wta120330,Sofia Arvidsson,wta010334,1,0,8,6,2,31,50,20,1,8,16,8,5,3,16,47,10,9,3,18,31,298,11,25,417,12,7,34,21,13,10,2,0
2011-ausopen-2126,AUS_OPEN,2011,Evgeniya Rodina,wta312584,Olivia Rogowska,wta313803,1,0,2,6,0,23,31,41,1,5,9,2,4,1,14,32,4,11,2,18,6,71,4,14,302,4,1,16,14,7,9,2,0
